prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino
P12H,44,high,0.4102959632873535,0.43340587615966797,0.18200922012329102,0.023109912872314453,-0.2282867431640625,-0.25139665603637695,0.9411872625350952
P13H,42,high,0.4872244894504547,0.45097923278808594,0.2760166525840759,-0.036245256662368774,-0.21120783686637878,-0.17496258020401,0.973843514919281
P13H,43,high,0.39778488874435425,0.42451056838035583,0.40024542808532715,0.026725679636001587,0.0024605393409729004,-0.024265140295028687,0.9722458720207214
P13H,44,high,0.2932494878768921,0.27775150537490845,0.2756332457065582,-0.015497982501983643,-0.017616242170333862,-0.0021182596683502197,0.9717490673065186
P14H,42,high,0.12067357450723648,0.15906718373298645,0.09823837876319885,0.03839360922574997,-0.022435195744037628,-0.0608288049697876,0.9383891820907593
P14H,43,high,0.4688906967639923,0.43774551153182983,0.26174432039260864,-0.031145185232162476,-0.20714637637138367,-0.1760011911392212,0.9315540790557861
P14H,44,high,0.30530211329460144,0.19735708832740784,0.057756535708904266,-0.1079450249671936,-0.24754557758569717,-0.13960055261850357,0.9576407670974731
P14L,42,low,0.135253444314003,0.13123565912246704,0.12806206941604614,-0.00401778519153595,-0.007191374897956848,-0.0031735897064208984,0.6479144096374512
P14L,43,low,0.24413378536701202,0.21585983037948608,0.2077069729566574,-0.02827395498752594,-0.036426812410354614,-0.008152857422828674,0.3720131516456604
P14L,44,low,0.2583184242248535,0.2932799458503723,0.21155118942260742,0.0349615216255188,-0.046767234802246094,-0.08172875642776489,0.3318883180618286
P15H,42,high,0.2688423693180084,0.3223012685775757,0.2207326591014862,0.05345889925956726,-0.04810971021652222,-0.10156860947608948,0.9510506987571716
P15H,43,high,0.33737361431121826,0.37772536277770996,0.31180882453918457,0.0403517484664917,-0.02556478977203369,-0.06591653823852539,1.0357707738876343
P15H,44,high,0.42635464668273926,0.3633696436882019,0.28027254343032837,-0.06298500299453735,-0.1460821032524109,-0.08309710025787354,1.0448477268218994
P16H,42,high,0.06953774392604828,0.00809891615062952,0.02301936224102974,-0.06143882777541876,-0.04651838168501854,0.014920446090400219,0.9719672799110413
P16H,43,high,0.24075612425804138,0.2418423891067505,0.25239041447639465,0.0010862648487091064,0.011634290218353271,0.010548025369644165,0.9896607398986816
P16H,44,high,0.13209620118141174,0.11293937265872955,0.11068928986787796,-0.01915682852268219,-0.021406911313533783,-0.002250082790851593,0.951047420501709
P17H,42,high,0.2310139536857605,0.2524178624153137,0.22117699682712555,0.021403908729553223,-0.009836956858634949,-0.03124086558818817,0.963796854019165
P17H,43,high,0.21294356882572174,0.23245525360107422,0.22398048639297485,0.019511684775352478,0.011036917567253113,-0.008474767208099365,0.9756292104721069
P17H,44,high,0.11122911423444748,0.10412588715553284,0.09530510008335114,-0.007103227078914642,-0.015924014151096344,-0.008820787072181702,0.9588172435760498
P17L,42,low,0.5627155900001526,0.4974645674228668,0.35671672224998474,-0.06525102257728577,-0.20599886775016785,-0.14074784517288208,0.43257272243499756
P17L,43,low,0.38367488980293274,0.32225096225738525,0.3169535994529724,-0.061423927545547485,-0.06672129034996033,-0.005297362804412842,0.29002583026885986
P17L,44,low,0.38907673954963684,0.2940005660057068,0.29040953516960144,-0.09507617354393005,-0.0986672043800354,-0.0035910308361053467,0.30692970752716064
P18H,42,high,0.6306691765785217,0.6588096618652344,0.4049520492553711,0.028140485286712646,-0.22571712732315063,-0.2538576126098633,0.9581049084663391
P18H,43,high,0.49827879667282104,0.4496570825576782,0.4655383229255676,-0.04862171411514282,-0.03274047374725342,0.015881240367889404,0.9384627342224121
P18H,44,high,0.634707510471344,0.6539630889892578,0.10582543909549713,0.01925557851791382,-0.5288820713758469,-0.5481376498937607,0.9677277207374573
P19H,42,high,0.6490057110786438,0.8476563692092896,0.1341545283794403,0.19865065813064575,-0.5148511826992035,-0.7135018408298492,0.9637221693992615
P19H,43,high,0.7240613102912903,0.6176642179489136,0.15301628410816193,-0.10639709234237671,-0.5710450261831284,-0.46464793384075165,0.979777455329895
P19H,44,high,0.7135919332504272,0.6996287107467651,0.5003798007965088,-0.01396322250366211,-0.21321213245391846,-0.19924890995025635,0.9636756777763367
P19L,42,low,0.26525092124938965,0.23975156247615814,0.17907722294330597,-0.025499358773231506,-0.08617369830608368,-0.06067433953285217,0.8050398826599121
P19L,43,low,0.26992693543434143,0.317904531955719,0.2979235053062439,0.047977596521377563,0.027996569871902466,-0.019981026649475098,0.6310333609580994
P19L,44,low,0.3043816387653351,0.32326740026474,0.317879855632782,0.018885761499404907,0.0134982168674469,-0.005387544631958008,0.8303700685501099
P20H,42,high,0.1973133385181427,0.12280919402837753,0.10191857069730759,-0.07450414448976517,-0.09539476782083511,-0.020890623331069946,1.0140897035598755
P20H,43,high,0.4279608428478241,0.3949477970600128,0.25923773646354675,-0.03301304578781128,-0.16872310638427734,-0.13571006059646606,1.029374599456787
P20H,44,high,0.16949281096458435,0.1779964566230774,0.18428173661231995,0.008503645658493042,0.014788925647735596,0.006285279989242554,1.0341235399246216
P21H,42,high,0.07469363510608673,0.0758451372385025,0.07608401775360107,0.0011515021324157715,0.0013903826475143433,0.00023888051509857178,1.0002923011779785
P21H,43,high,0.013502813875675201,0.008945070207118988,0.009934443980455399,-0.004557743668556213,-0.003568369895219803,0.0009893737733364105,1.003332257270813
P21H,44,high,0.1429557055234909,0.14171245694160461,0.1165403425693512,-0.0012432485818862915,-0.02641536295413971,-0.025172114372253418,1.0289900302886963
P22H,42,high,0.4245811104774475,0.46871688961982727,0.457047700881958,0.04413577914237976,0.0324665904045105,-0.011669188737869263,0.9482151865959167
P22H,43,high,0.3233966529369354,0.28701597452163696,0.2910194993019104,-0.03638067841529846,-0.032377153635025024,0.0040035247802734375,1.00128173828125
P22H,44,high,0.28015244007110596,0.2707723379135132,0.2675623297691345,-0.009380102157592773,-0.012590110301971436,-0.003210008144378662,1.0291283130645752
P23H,42,high,0.2616536021232605,0.2503550946712494,0.07124792784452438,-0.011298507452011108,-0.19040567427873611,-0.179107166826725,1.0112640857696533
P23H,43,high,0.31587785482406616,0.33190253376960754,0.07792379707098007,0.016024678945541382,-0.2379540577530861,-0.25397873669862747,1.0253186225891113
P23H,44,high,0.35776451230049133,0.32257115840911865,0.07674111425876617,-0.03519335389137268,-0.28102339804172516,-0.24583004415035248,1.007401466369629
P23L,42,low,0.20407041907310486,0.15571048855781555,0.15206362307071686,-0.04835993051528931,-0.052006796002388,-0.003646865487098694,0.22409522533416748
P23L,43,low,0.2038029432296753,0.17690624296665192,0.1705261766910553,-0.026896700263023376,-0.033276766538619995,-0.006380066275596619,0.12052440643310547
P23L,44,low,0.16746623814105988,0.14352570474147797,0.14350175857543945,-0.02394053339958191,-0.023964479565620422,-2.3946166038513184e-05,0.14251798391342163
P24H,42,high,0.5826928615570068,0.5179364681243896,0.23452839255332947,-0.06475639343261719,-0.34816446900367737,-0.2834080755710602,0.9673165082931519
P24H,43,high,0.3231741786003113,0.31862789392471313,0.2961076498031616,-0.0045462846755981445,-0.027066528797149658,-0.022520244121551514,0.975692868232727
P24H,44,high,0.5693420767784119,0.27636027336120605,0.20775490999221802,-0.2929818034172058,-0.36158716678619385,-0.06860536336898804,0.9585490226745605
P25H,42,high,0.4809509813785553,0.2825421094894409,0.25931984186172485,-0.19840887188911438,-0.22163113951683044,-0.023222267627716064,0.9838753938674927
P25H,43,high,0.3610032796859741,0.37561047077178955,0.3325842618942261,0.01460719108581543,-0.028419017791748047,-0.04302620887756348,1.003044605255127
P25H,44,high,0.31832408905029297,0.3208518326282501,0.2557911276817322,0.0025277435779571533,-0.06253296136856079,-0.06506070494651794,1.010129690170288
P26H,42,high,0.37476152181625366,0.24755819141864777,0.16176393628120422,-0.1272033303976059,-0.21299758553504944,-0.08579425513744354,1.026954174041748
P26H,43,high,0.44604456424713135,0.45730412006378174,0.20918460190296173,0.01125955581665039,-0.23685996234416962,-0.24811951816082,0.9732735753059387
P26H,44,high,0.748400092124939,0.2930651307106018,0.06909513473510742,-0.45533496141433716,-0.6793049573898315,-0.22396999597549438,1.0168626308441162
P27H,42,high,0.41793400049209595,0.3229331374168396,0.12077173590660095,-0.09500086307525635,-0.297162264585495,-0.20216140151023865,0.9842872023582458
P27H,43,high,0.3181856870651245,0.2588679790496826,0.1762053221464157,-0.059317708015441895,-0.1419803649187088,-0.0826626569032669,0.9562029838562012
P27H,44,high,0.4429912269115448,0.4154629707336426,0.2990035116672516,-0.02752825617790222,-0.1439877152442932,-0.11645945906639099,0.9905967712402344
P28H,42,high,0.32404881715774536,0.30326178669929504,0.09401640295982361,-0.020787030458450317,-0.23003241419792175,-0.20924538373947144,1.0035260915756226
P28H,43,high,0.23106318712234497,0.3857302665710449,0.20480181276798248,0.15466707944869995,-0.026261374354362488,-0.18092845380306244,0.9866362810134888
P28H,44,high,0.21521282196044922,0.25101402401924133,0.23922628164291382,0.035801202058792114,0.0240134596824646,-0.011787742376327515,1.020148515701294
P28L,42,low,0.33656278252601624,0.283913791179657,0.25670939683914185,-0.05264899134635925,-0.07985338568687439,-0.027204394340515137,0.20943492650985718
P28L,43,low,0.1941225379705429,0.16239401698112488,0.15805649757385254,-0.03172852098941803,-0.03606604039669037,-0.004337519407272339,0.29058098793029785
P28L,44,low,0.13104841113090515,0.15632517635822296,0.16440147161483765,0.02527676522731781,0.033353060483932495,0.008076295256614685,0.4684293270111084
P29H,42,high,0.5419955849647522,0.48715639114379883,0.019769687205553055,-0.05483919382095337,-0.5222258977591991,-0.4673867039382458,1.0307660102844238
P29H,43,high,0.3929069936275482,0.3804650902748108,0.34674426913261414,-0.012441903352737427,-0.04616272449493408,-0.033720821142196655,1.0134745836257935
P29H,44,high,0.28862202167510986,0.23863238096237183,0.18968987464904785,-0.04998964071273804,-0.09893214702606201,-0.048942506313323975,1.0136805772781372
P30H,42,high,0.05236580967903137,0.06680037081241608,0.05638941004872322,0.014434561133384705,0.004023600369691849,-0.010410960763692856,1.028456449508667
P30H,43,high,0.13715951144695282,0.19002710282802582,0.2011239230632782,0.052867591381073,0.06396441161632538,0.01109682023525238,1.0186641216278076
P30H,44,high,0.11635064333677292,0.16975484788417816,0.1686132252216339,0.05340420454740524,0.05226258188486099,-0.0011416226625442505,0.9644806385040283
