clip_id,stratum,group,tier,endpoint,seed,path,T,a_idx,b_idx,two_sided,md5,static_pix,twin_clip_id,prompt_cat,grid,notes
null_v2__display_transition_1__s42,S-GRID,NULLGEN,,display_transition_1,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__display_transition_1__ref_hero_flight_5__s42.mp4,121,8,113,True,59837bb346ff069ee4a9edc2a9a671c7,False,GT__display_transition_1,neutral,v2,dedup_group=1;endpoint_class=display_transition
null_v2__display_transition_1__s43,S-GRID,NULLGEN,,display_transition_1,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__display_transition_1__ref_hero_flight_5__s43.mp4,121,8,113,True,7fbee203ab18f7fba61b52211192c08f,False,GT__display_transition_1,neutral,v2,dedup_group=1;endpoint_class=display_transition
null_v2__earth_wave_3__s42,S-GRID,NULLGEN,,earth_wave_3,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__earth_wave_3__ref_hero_flight_5__s42.mp4,121,8,113,True,7ab0436cde98b09cbf0b98bf4b16ffae,False,GT__earth_wave_3,neutral,v2,dedup_group=3;endpoint_class=earth_wave
null_v2__earth_wave_3__s43,S-GRID,NULLGEN,,earth_wave_3,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__earth_wave_3__ref_hero_flight_5__s43.mp4,121,8,113,True,aad816cba61d1076d0cd77182903a04f,False,GT__earth_wave_3,neutral,v2,dedup_group=3;endpoint_class=earth_wave
null_v2__melt_transition_2__s42,S-GRID,NULLGEN,,melt_transition_2,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__melt_transition_2__ref_shadow_smoke_0__s42.mp4,121,8,113,True,31678118ad3a1d675e8addaf4b3c4efa,False,GT__melt_transition_2,neutral,v2,dedup_group=2;endpoint_class=melt_transition
null_v2__melt_transition_2__s43,S-GRID,NULLGEN,,melt_transition_2,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__melt_transition_2__ref_shadow_smoke_0__s43.mp4,121,8,113,True,5705cfd3107677501452c3db2db918b5,False,GT__melt_transition_2,neutral,v2,dedup_group=2;endpoint_class=melt_transition
null_v2__raven_transition_2__s42,S-GRID,NULLGEN,,raven_transition_2,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__raven_transition_2__ref_shadow_smoke_0__s42.mp4,121,8,113,True,a41f062145afabf1fbe571b3e0709b3a,False,GT__raven_transition_2,neutral,v2,dedup_group=2;endpoint_class=raven_transition
null_v2__raven_transition_2__s43,S-GRID,NULLGEN,,raven_transition_2,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-cross__ctt_v2__raven_transition_2__ref_shadow_smoke_0__s43.mp4,121,8,113,True,5adb26652d690d65b54be6b00cfe830c,False,GT__raven_transition_2,neutral,v2,dedup_group=2;endpoint_class=raven_transition
null_v2__air_bending_1__s42,S-GRID,NULLGEN,,air_bending_1,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__air_bending_1__ref_raven_transition_0__s42.mp4,121,8,113,True,075c4aa3d8bcd78cf159a4a60ff98f87,False,GT__air_bending_1,neutral,v2,dedup_group=1;endpoint_class=air_bending
null_v2__air_bending_1__s43,S-GRID,NULLGEN,,air_bending_1,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__air_bending_1__ref_raven_transition_0__s43.mp4,121,8,113,True,a1e4751084be49dffe1654a6f7372aa5,False,GT__air_bending_1,neutral,v2,dedup_group=1;endpoint_class=air_bending
null_v2__giant_grab_3__s42,S-GRID,NULLGEN,,giant_grab_3,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__giant_grab_3__ref_flying_cam_transition_1__s42.mp4,121,8,113,True,648009936d1a533078693c8c50ad46e7,False,GT__giant_grab_3,neutral,v2,dedup_group=2;endpoint_class=giant_grab
null_v2__giant_grab_3__s43,S-GRID,NULLGEN,,giant_grab_3,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__giant_grab_3__ref_flying_cam_transition_1__s43.mp4,121,8,113,True,f81d058f353c8b21a1341e9b1dd2be81,False,GT__giant_grab_3,neutral,v2,dedup_group=2;endpoint_class=giant_grab
null_v2__water_bending_3__s42,S-GRID,NULLGEN,,water_bending_3,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__water_bending_3__ref_firelava_0__s42.mp4,121,8,113,True,6fdab8d8f1fcc822e78beff2af3ea0c9,False,GT__water_bending_3,neutral,v2,dedup_group=1;endpoint_class=water_bending
null_v2__water_bending_3__s43,S-GRID,NULLGEN,,water_bending_3,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-cross__ctt_v2__water_bending_3__ref_firelava_0__s43.mp4,121,8,113,True,62f0c4a0fce4741eb493b9300023e75c,False,GT__water_bending_3,neutral,v2,dedup_group=1;endpoint_class=water_bending
null_v2__firelava_4__s42,S-GRID,NULLGEN,,firelava_4,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-same__ctt_v2__firelava_4__ref_firelava_0__s42.mp4,121,8,113,True,21cd31b3a2c986f30aacd68da59dd6db,False,GT__firelava_4,neutral,v2,dedup_group=1;endpoint_class=firelava
null_v2__firelava_4__s43,S-GRID,NULLGEN,,firelava_4,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-same__ctt_v2__firelava_4__ref_firelava_0__s43.mp4,121,8,113,True,afb22e7e4c5488756a44a2c3a69b8ed3,False,GT__firelava_4,neutral,v2,dedup_group=1;endpoint_class=firelava
null_v2__flying_cam_transition_4__s42,S-GRID,NULLGEN,,flying_cam_transition_4,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-same__ctt_v2__flying_cam_transition_4__ref_flying_cam_transition_1__s42.mp4,121,8,113,True,e772ee2fe28f64320ffa11b3c7ab1dea,False,GT__flying_cam_transition_4,neutral,v2,dedup_group=1;endpoint_class=flying_cam_transition
null_v2__flying_cam_transition_4__s43,S-GRID,NULLGEN,,flying_cam_transition_4,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-same__ctt_v2__flying_cam_transition_4__ref_flying_cam_transition_1__s43.mp4,121,8,113,True,a5d75183c6688e9e5862948634690b10,False,GT__flying_cam_transition_4,neutral,v2,dedup_group=1;endpoint_class=flying_cam_transition
gridF_v2__davis_bear_elephant__s42,S-GRID-F,NULLGEN,,davis_bear_elephant,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-foreign__ctt_v2__davis_bear_elephant__ref_hero_flight_5__s42.mp4,121,8,113,True,821905c084f08d71fcac2dd70e3c8def,False,,neutral,v2,dedup_group=5;endpoint_class=davis
gridF_v2__davis_bear_elephant__s43,S-GRID-F,NULLGEN,,davis_bear_elephant,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-foreign__ctt_v2__davis_bear_elephant__ref_hero_flight_5__s43.mp4,121,8,113,True,09fe6e3503807d48a6f06e4fad5a5963,False,,neutral,v2,dedup_group=5;endpoint_class=davis
gridF_v2__davis_tennis_snowboard__s42,S-GRID-F,NULLGEN,,davis_tennis_snowboard,42,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-foreign__ctt_v2__davis_tennis_snowboard__ref_hero_flight_5__s42.mp4,121,8,113,True,1fb4bb1e72d61bd8554d7fad4e376fa3,False,,neutral,v2,dedup_group=5;endpoint_class=davis
gridF_v2__davis_tennis_snowboard__s43,S-GRID-F,NULLGEN,,davis_tennis_snowboard,43,store/gens/005_base_cond/02_neutral__dai/videos/G-unseen-foreign__ctt_v2__davis_tennis_snowboard__ref_hero_flight_5__s43.mp4,121,8,113,True,547ca74faae01e7802a9aa714298d598,False,,neutral,v2,dedup_group=5;endpoint_class=davis
gridF_v2__davis_blackswan_rhino__s42,S-GRID-F,NULLGEN,,davis_blackswan_rhino,42,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-foreign__ctt_v2__davis_blackswan_rhino__ref_firelava_0__s42.mp4,121,8,113,True,1c39dd98c9de24f334f88e659fba8a92,False,,neutral,v2,dedup_group=4;endpoint_class=davis
gridF_v2__davis_blackswan_rhino__s43,S-GRID-F,NULLGEN,,davis_blackswan_rhino,43,store/gens/005_base_cond/02_neutral__dai/videos/G-zs-foreign__ctt_v2__davis_blackswan_rhino__ref_firelava_0__s43.mp4,121,8,113,True,1d99746e493450829c547ff5bf30030e,False,,neutral,v2,dedup_group=4;endpoint_class=davis
null_v3__hero_flight_1__s42,S-GRID,NULLGEN,,hero_flight_1,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-fit__base_cond_neutral_v3__hero_flight_1__ref_hero_flight_0__s42.mp4,121,8,113,True,94fc1b2320c8bea1f822c2d8667248e4,False,GT__hero_flight_1,neutral,v3,dedup_group=1;endpoint_class=hero_flight
null_v3__hero_flight_1__s43,S-GRID,NULLGEN,,hero_flight_1,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-fit__base_cond_neutral_v3__hero_flight_1__ref_hero_flight_0__s43.mp4,121,8,113,True,ecf792363a4314ba47f5c8174c5fa92f,False,GT__hero_flight_1,neutral,v3,dedup_group=1;endpoint_class=hero_flight
null_v3__shadow_smoke_2__s42,S-GRID,NULLGEN,,shadow_smoke_2,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-fit__base_cond_neutral_v3__shadow_smoke_2__ref_shadow_smoke_1__s42.mp4,121,8,113,True,b75f66507c224b36a7dd6a2a131a9e3c,False,GT__shadow_smoke_2,neutral,v3,dedup_group=1;endpoint_class=shadow_smoke
null_v3__shadow_smoke_2__s43,S-GRID,NULLGEN,,shadow_smoke_2,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-fit__base_cond_neutral_v3__shadow_smoke_2__ref_shadow_smoke_1__s43.mp4,121,8,113,True,d1bfbb02ea8280b59dfd91efd0009e1e,False,GT__shadow_smoke_2,neutral,v3,dedup_group=1;endpoint_class=shadow_smoke
null_v3__hero_flight_5__s42,S-GRID,NULLGEN,,hero_flight_5,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-memo-probe__base_cond_neutral_v3__hero_flight_5__ref_hero_flight_0__s42.mp4,121,8,113,True,fe0941d063f6697b14d05db6e1af3e34,False,GT__hero_flight_5,neutral,v3,dedup_group=5;endpoint_class=hero_flight
null_v3__hero_flight_5__s43,S-GRID,NULLGEN,,hero_flight_5,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-memo-probe__base_cond_neutral_v3__hero_flight_5__ref_hero_flight_0__s43.mp4,121,8,113,True,25b3f2770b08c450f44fccd2859d6f8f,False,GT__hero_flight_5,neutral,v3,dedup_group=5;endpoint_class=hero_flight
null_v3__shadow_smoke_0__s42,S-GRID,NULLGEN,,shadow_smoke_0,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-memo-probe__base_cond_neutral_v3__shadow_smoke_0__ref_shadow_smoke_1__s42.mp4,121,8,113,True,720915ff778838100c7b7df7b3ecc1a3,False,GT__shadow_smoke_0,neutral,v3,dedup_group=3;endpoint_class=shadow_smoke
null_v3__shadow_smoke_0__s43,S-GRID,NULLGEN,,shadow_smoke_0,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-memo-probe__base_cond_neutral_v3__shadow_smoke_0__ref_shadow_smoke_1__s43.mp4,121,8,113,True,2e79dab2175ef4c81597a4986c343b04,False,GT__shadow_smoke_0,neutral,v3,dedup_group=3;endpoint_class=shadow_smoke
null_v3__air_bending_1__s42,S-GRID,NULLGEN,,air_bending_1,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__air_bending_1__ref_earth_wave_3__s42.mp4,121,8,113,True,075c4aa3d8bcd78cf159a4a60ff98f87,False,GT__air_bending_1,neutral,v3,dedup_group=4;endpoint_class=air_bending
null_v3__air_bending_1__s43,S-GRID,NULLGEN,,air_bending_1,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__air_bending_1__ref_earth_wave_3__s43.mp4,121,8,113,True,a1e4751084be49dffe1654a6f7372aa5,False,GT__air_bending_1,neutral,v3,dedup_group=4;endpoint_class=air_bending
null_v3__display_transition_1__s42,S-GRID,NULLGEN,,display_transition_1,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__display_transition_1__ref_air_bending_1__s42.mp4,121,8,113,True,59837bb346ff069ee4a9edc2a9a671c7,False,GT__display_transition_1,neutral,v3,dedup_group=3;endpoint_class=display_transition
null_v3__display_transition_1__s43,S-GRID,NULLGEN,,display_transition_1,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__display_transition_1__ref_air_bending_1__s43.mp4,121,8,113,True,7fbee203ab18f7fba61b52211192c08f,False,GT__display_transition_1,neutral,v3,dedup_group=3;endpoint_class=display_transition
null_v3__earth_wave_3__s42,S-GRID,NULLGEN,,earth_wave_3,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__earth_wave_3__ref_hero_flight_5__s42.mp4,121,8,113,True,7ab0436cde98b09cbf0b98bf4b16ffae,False,GT__earth_wave_3,neutral,v3,dedup_group=3;endpoint_class=earth_wave
null_v3__earth_wave_3__s43,S-GRID,NULLGEN,,earth_wave_3,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__earth_wave_3__ref_hero_flight_5__s43.mp4,121,8,113,True,aad816cba61d1076d0cd77182903a04f,False,GT__earth_wave_3,neutral,v3,dedup_group=3;endpoint_class=earth_wave
null_v3__earth_wave_5__s42,S-GRID,NULLGEN,,earth_wave_5,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__earth_wave_5__ref_flame_transition_3__s42.mp4,121,8,113,True,5f52f843c1ecb22da95033c685759b6c,False,GT__earth_wave_5,neutral,v3,dedup_group=2;endpoint_class=earth_wave
null_v3__earth_wave_5__s43,S-GRID,NULLGEN,,earth_wave_5,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__earth_wave_5__ref_flame_transition_3__s43.mp4,121,8,113,True,4de7bdcb5f383703ce12a20bfcf64f8b,False,GT__earth_wave_5,neutral,v3,dedup_group=2;endpoint_class=earth_wave
null_v3__firelava_4__s42,S-GRID,NULLGEN,,firelava_4,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__firelava_4__ref_hero_flight_6__s42.mp4,121,8,113,True,21cd31b3a2c986f30aacd68da59dd6db,False,GT__firelava_4,neutral,v3,dedup_group=4;endpoint_class=firelava
null_v3__firelava_4__s43,S-GRID,NULLGEN,,firelava_4,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__firelava_4__ref_hero_flight_6__s43.mp4,121,8,113,True,afb22e7e4c5488756a44a2c3a69b8ed3,False,GT__firelava_4,neutral,v3,dedup_group=4;endpoint_class=firelava
null_v3__hero_flight_6__s42,S-GRID,NULLGEN,,hero_flight_6,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__hero_flight_6__ref_giant_grab_3__s42.mp4,121,8,113,True,3116148bc04ed150d17c14d1b8a061aa,False,GT__hero_flight_6,neutral,v3,dedup_group=4;endpoint_class=hero_flight
null_v3__hero_flight_6__s43,S-GRID,NULLGEN,,hero_flight_6,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__hero_flight_6__ref_giant_grab_3__s43.mp4,121,8,113,True,966d3071c1e4a559b90ca0930b07f839,False,GT__hero_flight_6,neutral,v3,dedup_group=4;endpoint_class=hero_flight
null_v3__melt_transition_2__s42,S-GRID,NULLGEN,,melt_transition_2,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__melt_transition_2__ref_shadow_smoke_0__s42.mp4,121,8,113,True,31678118ad3a1d675e8addaf4b3c4efa,False,GT__melt_transition_2,neutral,v3,dedup_group=3;endpoint_class=melt_transition
null_v3__melt_transition_2__s43,S-GRID,NULLGEN,,melt_transition_2,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__melt_transition_2__ref_shadow_smoke_0__s43.mp4,121,8,113,True,5705cfd3107677501452c3db2db918b5,False,GT__melt_transition_2,neutral,v3,dedup_group=3;endpoint_class=melt_transition
null_v3__raven_transition_2__s42,S-GRID,NULLGEN,,raven_transition_2,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__raven_transition_2__ref_shadow_smoke_0__s42.mp4,121,8,113,True,a41f062145afabf1fbe571b3e0709b3a,False,GT__raven_transition_2,neutral,v3,dedup_group=2;endpoint_class=raven_transition
null_v3__raven_transition_2__s43,S-GRID,NULLGEN,,raven_transition_2,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__raven_transition_2__ref_shadow_smoke_0__s43.mp4,121,8,113,True,5adb26652d690d65b54be6b00cfe830c,False,GT__raven_transition_2,neutral,v3,dedup_group=2;endpoint_class=raven_transition
null_v3__water_bending_3__s42,S-GRID,NULLGEN,,water_bending_3,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__water_bending_3__ref_shadow_smoke_7__s42.mp4,121,8,113,True,6fdab8d8f1fcc822e78beff2af3ea0c9,False,GT__water_bending_3,neutral,v3,dedup_group=2;endpoint_class=water_bending
null_v3__water_bending_3__s43,S-GRID,NULLGEN,,water_bending_3,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-cross__base_cond_neutral_v3__water_bending_3__ref_shadow_smoke_7__s43.mp4,121,8,113,True,62f0c4a0fce4741eb493b9300023e75c,False,GT__water_bending_3,neutral,v3,dedup_group=2;endpoint_class=water_bending
null_v3__flame_transition_2__s42,S-GRID,NULLGEN,,flame_transition_2,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__flame_transition_2__ref_flame_transition_3__s42.mp4,121,8,113,True,29bd40fd59b04a76da144a0a2f988069,False,GT__flame_transition_2,neutral,v3,dedup_group=1;endpoint_class=flame
null_v3__flame_transition_2__s43,S-GRID,NULLGEN,,flame_transition_2,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__flame_transition_2__ref_flame_transition_3__s43.mp4,121,8,113,True,7063ece92eb7b512378f0e9b877c6d27,False,GT__flame_transition_2,neutral,v3,dedup_group=1;endpoint_class=flame
null_v3__flame_transition_3__s42,S-GRID,NULLGEN,,flame_transition_3,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__flame_transition_3__ref_flame_transition_2__s42.mp4,121,8,113,True,ba6e8f41539b2c13c5b8e57a1541e428,False,GT__flame_transition_3,neutral,v3,dedup_group=1;endpoint_class=flame
null_v3__flame_transition_3__s43,S-GRID,NULLGEN,,flame_transition_3,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__flame_transition_3__ref_flame_transition_2__s43.mp4,121,8,113,True,ea3fb305cecf36e568e45758ebf42168,False,GT__flame_transition_3,neutral,v3,dedup_group=1;endpoint_class=flame
null_v3__giant_grab_5__s42,S-GRID,NULLGEN,,giant_grab_5,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__giant_grab_5__ref_giant_grab_3__s42.mp4,121,8,113,True,3bbcf966373f2b4e9ac4e09ef9b09329,False,GT__giant_grab_5,neutral,v3,dedup_group=1;endpoint_class=giant_grab
null_v3__giant_grab_5__s43,S-GRID,NULLGEN,,giant_grab_5,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__giant_grab_5__ref_giant_grab_3__s43.mp4,121,8,113,True,463efd30982328d014d2d58dc118eec9,False,GT__giant_grab_5,neutral,v3,dedup_group=1;endpoint_class=giant_grab
null_v3__shadow_smoke_7__s42,S-GRID,NULLGEN,,shadow_smoke_7,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__shadow_smoke_7__ref_shadow_smoke_0__s42.mp4,121,8,113,True,ceaa51c0958237b941e993f488a25c7c,False,GT__shadow_smoke_7,neutral,v3,dedup_group=2;endpoint_class=shadow_smoke
null_v3__shadow_smoke_7__s43,S-GRID,NULLGEN,,shadow_smoke_7,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-same__base_cond_neutral_v3__shadow_smoke_7__ref_shadow_smoke_0__s43.mp4,121,8,113,True,d119ff0f69e2384d1c2a6fb158a308d2,False,GT__shadow_smoke_7,neutral,v3,dedup_group=2;endpoint_class=shadow_smoke
null_v3__giant_grab_3__s42,S-GRID,NULLGEN,,giant_grab_3,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-cross__base_cond_neutral_v3__giant_grab_3__ref_flying_cam_transition_1__s42.mp4,121,8,113,True,648009936d1a533078693c8c50ad46e7,False,GT__giant_grab_3,neutral,v3,dedup_group=3;endpoint_class=giant_grab
null_v3__giant_grab_3__s43,S-GRID,NULLGEN,,giant_grab_3,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-cross__base_cond_neutral_v3__giant_grab_3__ref_flying_cam_transition_1__s43.mp4,121,8,113,True,f81d058f353c8b21a1341e9b1dd2be81,False,GT__giant_grab_3,neutral,v3,dedup_group=3;endpoint_class=giant_grab
null_v3__flying_cam_transition_4__s42,S-GRID,NULLGEN,,flying_cam_transition_4,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__flying_cam_transition_4__ref_flying_cam_transition_1__s42.mp4,121,8,113,True,e772ee2fe28f64320ffa11b3c7ab1dea,False,GT__flying_cam_transition_4,neutral,v3,dedup_group=2;endpoint_class=flying_cam_transition
null_v3__flying_cam_transition_4__s43,S-GRID,NULLGEN,,flying_cam_transition_4,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__flying_cam_transition_4__ref_flying_cam_transition_1__s43.mp4,121,8,113,True,a5d75183c6688e9e5862948634690b10,False,GT__flying_cam_transition_4,neutral,v3,dedup_group=2;endpoint_class=flying_cam_transition
gridF_v3__davis_bear_elephant__s42,S-GRID-F,NULLGEN,,davis_bear_elephant,42,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-foreign__base_cond_neutral_v3__davis_bear_elephant__ref_hero_flight_5__s42.mp4,121,8,113,True,821905c084f08d71fcac2dd70e3c8def,False,,neutral,v3,dedup_group=5;endpoint_class=davis
gridF_v3__davis_bear_elephant__s43,S-GRID-F,NULLGEN,,davis_bear_elephant,43,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-unseen-foreign__base_cond_neutral_v3__davis_bear_elephant__ref_hero_flight_5__s43.mp4,121,8,113,True,09fe6e3503807d48a6f06e4fad5a5963,False,,neutral,v3,dedup_group=5;endpoint_class=davis
