endpoint,endpoint_source,endpoint_class,grids,two_sided_rows,frames_source,dino_dist,clip_dist,pixel_gap_rel,gt_DR_med,gt_M,gt_motion_prefix,gt_motion_suffix
ed.Avocado_Seed_Pendant.07ecaee96f206e14.M,heldout,ed.Avocado_Seed_Pendant,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Back_Born_Letter_Wings.0b899d5068edcb66.M,heldout,ed.Back_Born_Letter_Wings,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Back_bubble_cloak.1c1353a8962ef9be.M,heldout,ed.Back_bubble_cloak,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Back_laser_wings.0e4ad9078efa26f4.M,heldout,ed.Back_laser_wings,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Back_page_wings.06c44eb16774b786.M,heldout,ed.Back_page_wings,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Bamboo_shield_in_front.0f4fc4edacb19f56.M,heldout,ed.Bamboo_shield_in_front,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Bile_aura_hands.0620ac943c6d8ba8.M,heldout,ed.Bile_aura_hands,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_Banknote_Shield.0640ff900e5d6c50.M,heldout,ed.Body_Banknote_Shield,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_Laser_Aura.1858d4165ab7c7d2.M,heldout,ed.Body_Laser_Aura,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_Meteorite_Crystal.0e4ad9078efa26f4.M,heldout,ed.Body_Meteorite_Crystal,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_as_mist.1e2592b60cc87490.M,heldout,ed.Body_as_mist,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_gear_field.06ad4482b7de1301.M,heldout,ed.Body_gear_field,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_laser_shield.03f28acb3eadecd1.M,heldout,ed.Body_laser_shield,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Body_vine_slime.142742df912f8b98.M,heldout,ed.Body_vine_slime,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Brass_serpent_coil.1728ea54ae676560.M,heldout,ed.Brass_serpent_coil,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chaotic_wings_from_shoulders.1728ea54ae676560.M,heldout,ed.Chaotic_wings_from_shoulders,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_Burst_Ribbons.1db1c2ae4733d3dc.M,heldout,ed.Chest_Burst_Ribbons,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_Erupting_Shield.0e8ec528ffd657e9.M,heldout,ed.Chest_Erupting_Shield,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_Laser_Burst.1db1c2ae4733d3dc.M,heldout,ed.Chest_Laser_Burst,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_fish_burst.07ecaee96f206e14.M,heldout,ed.Chest_fish_burst,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_light_field.1c1353a8962ef9be.M,heldout,ed.Chest_light_field,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Chest_sigil.0e8ec528ffd657e9.M,heldout,ed.Chest_sigil,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Code_Mirror_Duplicate.02c8c50a3fbcd46d.M,heldout,ed.Code_Mirror_Duplicate,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Cold_Tears_Gaze.0e28a4f8490df43f.M,heldout,ed.Cold_Tears_Gaze,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Confetti_Burst_from_Hands.116c93366b05a44e.M,heldout,ed.Confetti_Burst_from_Hands,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Cucumber_seeds_from_chest.01f95ede20c32e61.M,heldout,ed.Cucumber_seeds_from_chest,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Dark_mist_from_mouth.03191b8530530fce.M,heldout,ed.Dark_mist_from_mouth,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Dark_mist_wings_from_back.03191b8530530fce.M,heldout,ed.Dark_mist_wings_from_back,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Diamond_Footpath.0c71d4091805ed87.M,heldout,ed.Diamond_Footpath,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Electric_Clothes_Glow.0c71d4091805ed87.M,heldout,ed.Electric_Clothes_Glow,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Eye_Meteor_Burst.116c93366b05a44e.M,heldout,ed.Eye_Meteor_Burst,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Eye_Shard_Stream.06ad4482b7de1301.M,heldout,ed.Eye_Shard_Stream,05_neutral_v3ed81__dai,0,none,,,,,,,
ed.Fist_heat_blast.01f95ede20c32e61.M,heldout,ed.Fist_heat_blast,05_neutral_v3ed81__dai,0,none,,,,,,,
explosion_0,heldout,explosion,04_neutral_v3__dai,0,gt_clip,0.7642958164215088,0.303788423538208,0.7684624791145325,0.7360796928405762,0.3076923076923077,0.17626488208770752,0.04499322175979614
explosion_1,heldout,explosion,04_neutral_v3__dai,0,gt_clip,0.5085616707801819,0.25219714641571045,0.848712682723999,0.6496978998184204,0.2692307692307692,0.03777381777763367,0.0721612498164177
fire_element_2,heldin_test,fire_element,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7853019833564758,0.39157819747924805,0.5586684346199036,0.6046529412269592,0.47115384615384615,0.01816526986658573,0.1592560112476349
fire_element_3,heldin_test,fire_element,04_neutral_v3__dai,0,gt_clip,0.6828095316886902,0.40293723344802856,0.781040370464325,0.6613953113555908,0.6923076923076923,0.022460078820586205,0.18541622161865234
firelava_4,heldout,firelava,02_neutral__dai|04_neutral_v3__dai,5,gt_clip,0.7550086975097656,0.2789343595504761,0.9565761685371399,0.6157922744750977,0.3173076923076923,0.0291447676718235,0.011472136713564396
flame_transition_2,heldin_test,flame,04_neutral_v3__dai,1,gen_cond,0.5033552646636963,0.30029869079589844,0.5855746865272522,,,,
flame_transition_3,heldin_test,flame,04_neutral_v3__dai,1,gen_cond,0.5762443542480469,0.2251763939857483,0.7082048058509827,,,,
flying_cam_transition_4,heldout,flying_cam_transition,02_neutral__dai|04_neutral_v3__dai,3,gt_clip,0.9239779114723206,0.3068329691886902,1.1037510633468628,0.6044118404388428,0.2980769230769231,0.02972746267914772,0.036535799503326416
gas_transformation_1,heldin_train,gas_transformation,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5504847764968872,0.2777056097984314,0.32295894622802734,0.4605405330657959,0.25961538461538464,0.018011203035712242,0.031226057559251785
gas_transformation_6,heldin_test,gas_transformation,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7101457715034485,0.43599051237106323,0.40574443340301514,0.2945348024368286,0.23076923076923078,0.027661066502332687,0.009362125769257545
gas_transformation_7,heldin_test,gas_transformation,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7972066402435303,0.3109159469604492,0.8123504519462585,0.18727676570415497,0.1346153846153846,0.007616755086928606,0.010423855856060982
giant_grab_3,heldin_test,giant_grab,02_neutral__dai|04_neutral_v3__dai,5,gt_clip,0.6515516042709351,0.4003952741622925,0.3504104018211365,0.6209666728973389,0.125,0.057782772928476334,0.15104679763317108
giant_grab_5,heldin_test,giant_grab,04_neutral_v3__dai,1,gt_clip,0.7661229372024536,0.3949124217033386,0.4975002706050873,0.6181908845901489,0.6826923076923077,0.015530861914157867,0.0317489318549633
glitch_0,heldout,glitch,04_neutral_v3__dai,0,gt_clip,0.1292242407798767,0.07561469078063965,0.6785447001457214,0.5000638961791992,0.4230769230769231,0.025952482596039772,0.054242949932813644
glitch_1,heldout,glitch,04_neutral_v3__dai,0,gt_clip,0.1480962038040161,0.1243354082107544,0.4403289556503296,0.4557383954524994,0.33653846153846156,0.025968020781874657,0.05055304244160652
hero_flight_1,heldin_train,hero_flight,02_neutral__dai|04_neutral_v3__dai,2,gt_clip,0.9896891713142395,0.36522728204727173,0.7391162514686584,0.5956265926361084,0.2692307692307692,0.012051234021782875,0.23911815881729126
hero_flight_5,heldin_test,hero_flight,02_neutral__dai|04_neutral_v3__dai,8,gt_clip,0.9489837288856506,0.37039822340011597,0.6685858368873596,0.5334097146987915,0.4423076923076923,0.012555083259940147,0.09942985326051712
hero_flight_6,heldin_test,hero_flight,02_neutral__dai|04_neutral_v3__dai,7,gt_clip,0.6431841850280762,0.33091193437576294,0.7196507453918457,0.5783884525299072,0.3942307692307692,0.05410892516374588,0.19993996620178223
humanvid_10042758,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_12405668,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_2402374,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_3795426,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4058810,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4076737,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4223661,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4325522,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4457812,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4650062,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4734626,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_4873451,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_5124224,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_5385990,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_5712746,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_5759064,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6011432,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6111509,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6111510,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6202949,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6263410,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6300528,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6316946,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6396124,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6438110,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6455384,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6517487,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6548002,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6570439,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6625516,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6697837,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6774466,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6778823,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6815493,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6868356,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6878737,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6898098,humanvid,davis,04_neutral_v3__dai,0,none,,,,,,,
humanvid_6944277,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_6970182,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7150191,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7169950,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7171022,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7218892,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7235992,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7236896,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7301433,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7319993,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7467659,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7480485,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7534403,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7537430,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7539020,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7663067,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
humanvid_7670221,humanvid,davis,05_neutral_v3ed81__dai,0,none,,,,,,,
hvpair.humanvid_10042758.humanvid_7537430,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.8637434244155884,0.536583662033081,0.6260461211204529,,,,
hvpair.humanvid_12405668.humanvid_7539020,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.9472928643226624,0.397261381149292,0.718315839767456,,,,
hvpair.humanvid_2402374.humanvid_7663067,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.9951910972595215,0.5401147603988647,0.932214081287384,,,,
hvpair.humanvid_3795426.humanvid_7670221,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.906251072883606,0.31689345836639404,0.9038170576095581,,,,
hvpair.humanvid_4058810.humanvid_7682587,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.8793558478355408,0.41457653045654297,1.3641960620880127,,,,
hvpair.humanvid_4076737.humanvid_7707744,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.8943305015563965,0.46276021003723145,0.8458276987075806,,,,
hvpair.humanvid_4223661.humanvid_7772314,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.9628354907035828,0.4762091040611267,0.6593644022941589,,,,
hvpair.humanvid_4325522.humanvid_7776745,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.8209710121154785,0.3484978675842285,0.9422909021377563,,,,
hvpair.humanvid_4457812.humanvid_7864986,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.9599114656448364,0.5624151229858398,1.0449116230010986,,,,
hvpair.humanvid_4650062.humanvid_7884019,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.93722003698349,0.38662075996398926,0.7082575559616089,,,,
hvpair.humanvid_4734626.humanvid_7957231,humanvid,davis,04_neutral_v3__dai,1,gen_cond,1.0354961156845093,0.33903443813323975,0.8659554123878479,,,,
hvpair.humanvid_4873451.humanvid_7969628,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.9978479146957397,0.35058820247650146,0.6878074407577515,,,,
hvpair.humanvid_5124224.humanvid_7970355,humanvid,davis,04_neutral_v3__dai,1,gen_cond,0.7433903217315674,0.3251380920410156,0.5960079431533813,,,,
illustration_scene_1,heldin_train,illustration_scene,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5705476403236389,0.30705493688583374,0.8997581601142883,0.3904467821121216,0.41346153846153844,0.03462778404355049,0.04482530057430267
illustration_scene_4,heldin_test,illustration_scene,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5519101619720459,0.30458974838256836,0.5853500962257385,0.7895956635475159,0.7692307692307693,0.07583370804786682,0.07882146537303925
illustration_scene_7,heldin_test,illustration_scene,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.4209561347961426,0.23712587356567383,0.7138813138008118,0.40610742568969727,0.2403846153846154,0.02171943709254265,0.1395120471715927
live_concert_0,heldout,live_concert,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.9522452354431152,0.4753536581993103,1.0360569953918457,0.7274919748306274,0.5576923076923077,0.1297476440668106,0.04682452231645584
live_concert_4,heldout,live_concert,04_neutral_v3__dai,0,gt_clip,0.9907450079917908,0.5066972374916077,1.062211036682129,0.7659153938293457,0.21153846153846154,0.23493072390556335,0.11409961432218552
luminous_gaze_3,heldout,luminous_gaze,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.4320155382156372,0.30784761905670166,1.168111801147461,0.3040725588798523,0.4230769230769231,0.007885398343205452,0.025119900703430176
melt_transition_2,heldout,melt_transition,02_neutral__dai|04_neutral_v3__dai,5,gt_clip,0.9375076293945312,0.34328681230545044,0.7599163055419922,0.28139734268188477,0.22115384615384615,0.0036355825141072273,0.006937273312360048
money_rain_1,heldin_test,money_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.2878482937812805,0.09075790643692017,0.633247435092926,0.533715009689331,0.47115384615384615,0.014905036427080631,0.24288839101791382
money_rain_2,heldin_train,money_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.13917917013168335,0.1262490153312683,0.6415528059005737,0.6320799589157104,0.4423076923076923,0.022109096869826317,0.1403224915266037
money_rain_3,heldin_test,money_rain,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.11413085460662842,0.12457424402236938,0.6402525305747986,0.6058157682418823,0.5769230769230769,0.044625479727983475,0.21655991673469543
monstrosity_0,heldout,monstrosity,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6103556752204895,0.27899277210235596,0.416920930147171,0.5583601593971252,0.46153846153846156,0.047063905745744705,0.0817066952586174
mystification_0,heldin_test,mystification,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.7205905914306641,0.384863018989563,0.48014166951179504,0.30419766902923584,0.3076923076923077,0.007695166859775782,0.02955061011016369
mystification_1,heldin_test,mystification,04_neutral_v3__dai,0,gt_clip,0.7232233881950378,0.3963779807090759,0.48357295989990234,0.304749459028244,0.3076923076923077,0.007411476690322161,0.029699360951781273
northern_lights_0,heldout,northern_lights,04_neutral_v3__dai,0,gt_clip,0.33373284339904785,0.09478861093521118,0.6970590949058533,0.5955265164375305,0.27884615384615385,0.09078092873096466,0.09104690700769424
northern_lights_1,heldout,northern_lights,04_neutral_v3__dai,0,gt_clip,0.6664047241210938,0.21806931495666504,0.4959716796875,0.49647417664527893,0.5673076923076923,0.10354258120059967,0.05895204842090607
plasma_explosion_2,heldin_test,plasma_explosion,04_neutral_v3__dai,0,gt_clip,0.9325919151306152,0.33112072944641113,0.6651631593704224,0.629977822303772,0.125,0.07968160510063171,0.11654479056596756
plasma_explosion_3,heldin_test,plasma_explosion,04_neutral_v3__dai,0,gt_clip,0.7872722148895264,0.4025479555130005,0.6278839111328125,0.5893534421920776,0.34615384615384615,0.061223238706588745,0.21218262612819672
point_cloud_0,heldout,point_cloud,04_neutral_v3__dai,0,gt_clip,0.5258663892745972,0.152618408203125,1.30756413936615,0.14684870839118958,0.47115384615384615,0.26934152841567993,0.021268833428621292
point_cloud_1,heldout,point_cloud,04_neutral_v3__dai,0,gt_clip,0.042260587215423584,0.07869762182235718,0.23898601531982422,0.9389533996582031,0.4326923076923077,1.6132022142410278,0.06330462545156479
polygon_1,heldin_train,polygon,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.3397163152694702,0.31662517786026,0.3592161536216736,0.4459812641143799,0.5096153846153846,0.3380019962787628,0.025441674515604973
polygon_4,heldin_test,polygon,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.5838662981987,0.3834841847419739,0.590003252029419,0.5088821649551392,0.3557692307692308,0.11063868552446365,0.0854794904589653
polygon_8,heldin_test,polygon,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.36476004123687744,0.2793108820915222,0.24343697726726532,0.9205526113510132,0.9038461538461539,0.2873111963272095,0.12173442542552948
portal_1,heldin_test,portal,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.8517447710037231,0.36363083124160767,0.7366105318069458,0.7882998585700989,0.5192307692307693,0.01410922221839428,0.40253177285194397
portal_10,heldin_train,portal,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6741792559623718,0.17725932598114014,0.9696421027183533,0.3816818296909332,0.09615384615384616,0.38791951537132263,0.3404568135738373
portal_4,heldin_test,portal,02_neutral__dai|04_neutral_v3__dai,0,gt_clip,0.6944161057472229,0.20329999923706055,1.045568585395813,0.4218894839286804,0.038461538461538464,0.0952652096748352,0.44477567076683044
raven_transition_2,heldout,raven_transition,02_neutral__dai|04_neutral_v3__dai,4,gt_clip,0.8378135561943054,0.31548774242401123,1.0046961307525635,0.4919120669364929,0.46153846153846156,0.10854987800121307,0.014013857580721378
